date,open,high,low,close,vol
1988-01-08,540.28,547.69,540.28,547.69,"15,737,000"
1988-01-07,538.28,545.97,538.28,540.28,"16,379,000"
1988-01-06,527.86,538.28,527.86,538.28,"12,158,000"
1988-01-05,532.3,532.3,524.77,527.89,"11,570,000"
1988-01-04,525.11,532.07,524.91,532.04,"5,772,000"
1987-12-26,517.99,525.97,517.99,525.11,"12,431,000"
1987-12-24,509.33,517.99,509.33,517.99,"15,163,000"
1987-12-23,502.86,509.59,502.86,509.04,"12,209,000"
1987-12-22,490.35,502.74,490.35,502.74,"7,384,000"
1987-12-21,501.79,501.79,490.29,490.29,"7,081,000"
1987-12-19,501.78,504.52,501.75,501.75,"7,364,000"
1987-12-18,491.56,506.65,491.56,501.77,"4,957,000"
1987-12-17,472.52,491.47,472.52,491.47,"1,409,000"
1987-12-15,465.38,472.38,465.38,472.17,"12,213,000"
1987-12-14,474.57,474.57,464.9,465.36,"8,852,000"
1987-12-12,474.93,476.06,474.6,474.6,"6,492,000"
1987-12-11,471.33,474.93,471.19,474.93,"9,902,000"
1987-12-10,476.65,476.72,471.08,471.35,"11,477,000"
1987-12-09,469.81,480.9,469.81,476.59,"7,715,000"
1987-12-08,478.99,478.99,469.06,469.66,"6,245,000"
1987-12-07,483.22,486.38,478.97,478.97,"6,642,000"
1987-12-05,481.81,483.2,480.34,483.2,"4,914,000"
1987-12-04,489.18,490.17,481.79,481.81,"7,527,000"
1987-12-03,494.64,495.95,488.57,489.12,"6,944,000"
1987-12-02,490.74,500,490.74,494.64,"9,516,000"
1987-12-01,475.64,490.45,475.64,490.45,"7,322,000"
1987-11-30,468.09,475.63,468.09,475.59,"6,040,000"
1987-11-28,456.72,468.06,456.72,468.05,"3,725,000"
1987-11-27,455.73,458.2,455.7,456.68,"6,710,000"
1987-11-26,466.09,466.09,455.69,455.77,"6,004,000"
1987-11-25,465.71,469.22,462.76,466.09,"5,921,000"
1987-11-24,474.86,474.86,465.73,465.73,"5,570,000"
1987-11-23,473.95,479.52,473.95,474.89,"5,098,000"
1987-11-21,473.03,474.05,471.65,473.89,"4,216,000"
1987-11-20,482.15,483.82,473.09,473.09,"6,478,000"
1987-11-19,474.83,485.85,474.83,482.08,"7,359,000"
1987-11-18,456.7,474.78,456.7,474.78,"3,540,000"
1987-11-17,456.74,456.74,448.36,456.55,"4,799,000"
1987-11-16,466.16,466.16,456.86,456.86,"2,793,000"
1987-11-14,461.95,466.74,461.35,466.16,"2,523,000"
1987-11-13,472.63,476.22,462.09,462.09,"4,055,000"
1987-11-12,484.15,484.15,469.76,472.59,"4,051,000"
